"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1819";"U_QS_CONTINUATION_RATE_1920";"U_QS_CONTINUATION_RATE_2021";"U_QS_CONTINUATION_RATE_2122";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_N_ABS_1ST_2021";"U_QS_N_ABS_2ST_2021";"U_QS_N_ABS_JMGR_2021";"U_QS_N_ABS_DR_2021";"U_QS_N_PRACA_1ST_2021";"U_QS_N_PRACA_2ST_2021";"U_QS_N_PRACA_JMGR_2021";"U_QS_N_PRACA_DR_2021";"U_QS_N_BEZR_1ST_2021";"U_QS_N_BEZR_2ST_2021";"U_QS_N_BEZR_JMGR_2021";"U_QS_N_BEZR_DR_2021";"U_QS_N_STUD_1ST_2021";"U_QS_N_STUD_2ST_2021";"U_QS_N_STUD_JMGR_2021";"U_QS_N_STUD_DR_2021";"U_QS_N_UNABLE_1ST_2021";"U_QS_N_UNABLE_2ST_2021";"U_QS_N_UNABLE_JMGR_2021";"U_QS_N_UNABLE_DR_2021";"U_QS_N_ABS_1ST_2122";"U_QS_N_ABS_2ST_2122";"U_QS_N_ABS_JMGR_2122";"U_QS_N_ABS_DR_2122";"U_QS_N_PRACA_1ST_2122";"U_QS_N_PRACA_2ST_2122";"U_QS_N_PRACA_JMGR_2122";"U_QS_N_PRACA_DR_2122";"U_QS_N_BEZR_1ST_2122";"U_QS_N_BEZR_2ST_2122";"U_QS_N_BEZR_JMGR_2122";"U_QS_N_BEZR_DR_2122";"U_QS_N_STUD_1ST_2122";"U_QS_N_STUD_2ST_2122";"U_QS_N_STUD_JMGR_2122";"U_QS_N_STUD_DR_2122";"U_QS_N_UNABLE_1ST_2122";"U_QS_N_UNABLE_2ST_2122";"U_QS_N_UNABLE_JMGR_2122";"U_QS_N_UNABLE_DR_2122";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_2021";"U_QS_STUDENT_ENTREPRENEURSHIPS_2122";"U_QS_ME_SALARY_1ST_1819";"U_QS_ME_SALARY_2ST_1819";"U_QS_ME_SALARY_JMGR_1819";"U_QS_ME_SALARY_DR_1819";"U_QS_ME_SALARY_1ST_1920";"U_QS_ME_SALARY_2ST_1920";"U_QS_ME_SALARY_JMGR_1920";"U_QS_ME_SALARY_DR_1920";"U_QS_ME_SALARY_1ST_2021";"U_QS_ME_SALARY_2ST_2021";"U_QS_ME_SALARY_JMGR_2021";"U_QS_ME_SALARY_DR_2021";"U_QS_ME_SALARY_1ST_2122";"U_QS_ME_SALARY_2ST_2122";"U_QS_ME_SALARY_JMGR_2122";"U_QS_ME_SALARY_DR_2122";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_GRUP_UNEMPLOYMENT_1ST_2021";"U_GRUP_UNEMPLOYMENT_MGR_2021";"U_GRUP_UNEMPLOYMENT_DR_2021";"U_GRUP_UNEMPLOYMENT_1ST_2122";"U_GRUP_UNEMPLOYMENT_MGR_2122";"U_GRUP_UNEMPLOYMENT_DR_2122";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_UNEMPLOYMENT_1ST_1920";"U_UMULTI_UNEMPLOYMENT_2ST_1920";"U_UMULTI_UNEMPLOYMENT_JMGR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_2021";"U_UMULTI_UNEMPLOYMENT_2ST_2021";"U_UMULTI_UNEMPLOYMENT_JMGR_2021";"U_UMULTI_UNEMPLOYMENT_1ST_2122";"U_UMULTI_UNEMPLOYMENT_2ST_2122";"U_UMULTI_UNEMPLOYMENT_JMGR_2122";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_REGION_1ST_1920";"U_UMULTI_REGION_2ST_1920";"U_UMULTI_REGION_JMGR_1920";"U_UMULTI_REGION_1ST_2021";"U_UMULTI_REGION_2ST_2021";"U_UMULTI_REGION_JMGR_2021";"U_UMULTI_REGION_1ST_2122";"U_UMULTI_REGION_2ST_2122";"U_UMULTI_REGION_JMGR_2122";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_N_21";"U_UMULTI_N_22";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21";"U_UMULTI_NFIRM_22";"U_UMULTI_NFIRM_23"
2018;"Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku";73,3;;;;146;167;0;0;108;144;0;0;9;8;0;0;17;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;3189,37;3652,35;;;;;;;;;;;;;;;3,4;6;;;;;;;;;;;9,8;4,9;;;;;;;;;;;59,4;69,5;;;;;;;;;;;320;277;0;0;0;21;10;0;0
2019;"Wszechnica Świętokrzyska w Kielcach";75,3;81,4;76,5;;85;153;0;0;58;130;0;0;4;5;0;0;16;1;0;0;1;2;0;0;97;126;0;0;57;105;0;0;7;7;0;0;27;0;0;0;3;2;0;0;115;72;0;0;85;56;0;0;7;2;0;0;20;0;0;0;1;2;0;0;0;55;0;0;0;39;0;0;0;5;0;0;0;0;0;0;0;3;0;0;17;14;5;1;2535,37;3375,44;;;3006,75;3248,94;;;3409,02;3623,32;;;;3804,28;;;7,1;3,9;;7,2;7,9;;5,2;5,6;;;9,1;;4;3,5;;5;5,1;;13;2,9;;;9,3;;44,7;57,2;;45,4;44,4;;53,9;59,7;;;63,6;;248;231;208;180;55;32;30;19;7
2022;"Wyższa Szkoła Informatyki i Zarządzania w Bielsku-Białej";12,9;15;6,9;6,5;31;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;29;0;0;0;24;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;22;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;3;5;4107,94;;;;4526,17;;;;4119,28;;;;4390,09;;;;0;;;0;;;20,7;;;0;;;0;;;0;;;10,3;;;6,9;;;71;;;65;;;62,1;;;53,3;;;19;27;27;28;31;6;8;8;12
2024;"Wyższa Szkoła Zarządzania i Administracji w Opolu";67,3;60,3;60,7;54,5;217;300;0;0;151;239;0;0;4;3;0;0;29;3;0;0;3;6;0;0;156;259;0;0;94;196;0;0;7;3;0;0;21;3;0;0;1;11;0;0;257;264;0;0;159;179;0;0;4;1;0;0;42;4;0;0;3;8;0;0;231;225;0;0;147;159;0;0;2;4;0;0;31;4;0;0;3;3;0;0;31;15;19;27;3719,38;3960,43;;;3598,83;4096,93;;;4097,65;4630,54;;;4582,28;4988,46;;;0,5;1;;3,8;1,9;;1,6;1,9;;2,2;1,3;;1,3;1;;1,7;1,2;;0;0,4;;0;2,1;;47,4;55,1;;35,9;48;;33,1;48,7;;34,6;40;;581;524;489;513;410;52;56;49;47
2025;"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie";43,1;43,3;44,8;44,4;752;286;1230;8;301;168;1018;7;14;4;35;0;203;12;22;0;0;2;7;0;783;267;1176;23;355;165;991;23;17;7;25;0;222;2;15;0;6;4;21;0;904;342;1326;20;438;226;1105;20;14;5;25;0;250;10;26;0;7;1;12;0;827;337;1245;15;395;247;1062;15;12;9;18;0;226;9;29;0;4;1;5;0;236;231;306;310;3501,87;4484,98;3828,69;9837,3;3983,22;4556,42;3938,46;4936,5;4459,01;5025,04;4326,12;5647,5;5315,49;6221,08;5026,44;7321;2,1;3;0;2,7;3,7;0;2,3;2,6;0;1;1,3;0;2,6;1,5;2,8;3,5;2,4;2,2;1,7;1,6;1,9;2,6;2,9;1,5;24,6;33,6;58,1;32;40,2;57,6;35;46,8;59,3;33;50,6;60,7;2338;2284;2290;2613;2511;565;610;684;803
2026;"Wyższa Szkoła Agrobiznesu w Łomży";38,3;50;44,7;51,6;120;253;0;0;61;235;0;0;4;0;0;0;21;2;0;0;1;6;0;0;98;170;0;0;63;152;0;0;8;2;0;0;12;0;0;0;0;1;0;0;150;139;0;0;76;107;0;0;10;3;0;0;29;2;0;0;1;1;0;0;155;84;0;0;105;60;0;0;5;2;0;0;18;1;0;0;3;4;0;0;12;12;11;8;3052,03;5457,38;;;3022,89;5387,2;;;3494,73;5778,73;;;5785,37;6896,27;;;6,7;0;;2;1,8;;8;2,2;;2,6;4,8;;4;0;;4,1;1,2;;8,1;2,2;;4,9;2,5;;23,3;48,2;;31,6;44;;24,7;38,8;;33,5;34,5;;206;387;281;223;237;24;41;22;18
2029;"Małopolska Wyższa Szkoła Ekonomiczna z siedzibą w Tarnowie";72,6;69,6;72,2;42,6;84;194;0;0;59;148;0;0;4;16;0;0;12;0;0;0;4;12;0;0;69;121;0;0;53;92;0;0;5;4;0;0;7;0;0;0;2;10;0;0;108;122;0;0;80;100;0;0;4;5;0;0;14;0;0;0;4;5;0;0;101;105;0;0;84;93;0;0;6;4;0;0;5;0;0;0;1;3;0;0;5;5;5;11;2632,53;3175,44;;;2800;3474,47;;;3253,73;3454,89;;;3957,45;3993,55;;;6;7,7;;5,8;1,7;;2,8;3,3;;2;2,9;;6,9;8,5;;4,8;3,3;;6,5;4,3;;5,8;4;;57,1;64,4;;63,8;60,3;;58,3;68,9;;78,2;80;;270;258;237;217;188;12;7;14;17
2031;"Wyższa Szkoła Techniczno-Ekonomiczna w Szczecinie";16,7;25;;;24;0;0;0;20;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;32;0;0;0;25;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;4050,26;;;;5320,91;;;;;;;;;;;;4,2;;;3,1;;;;;;;;;5;;;3,6;;;;;;;;;78,3;;;70;;;;;;;;;41;25;31;0;0;8;6;1;0
2032;"Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu";12,5;22;6,5;11,4;56;0;0;0;42;0;0;0;3;0;0;0;2;0;0;0;1;0;0;0;50;0;0;0;45;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;46;0;0;0;40;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;35;0;0;0;33;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;8;9;4;5076,65;;;;4543,27;;;;5677,55;;;;6210,48;;;;1,8;;;2;;;6,5;;;0;;;4,2;;;4,5;;;7,1;;;0;;;36,4;;;46,9;;;54,3;;;62,9;;;54;53;43;62;32;14;14;17;16
2034;"Wyższa Szkoła Menedżerska w Warszawie";51,1;52,6;35,1;40,1;509;493;47;0;354;370;37;0;13;24;1;0;69;13;3;0;4;13;1;0;325;309;27;0;256;266;17;0;10;3;1;0;37;9;1;0;3;10;1;0;609;293;58;0;406;227;51;0;7;8;0;0;80;9;2;0;4;6;2;0;464;371;106;0;352;277;95;0;7;8;2;0;49;1;0;0;9;6;1;0;44;19;40;35;4081,4;4295,37;4865,43;;4141,64;4343,47;3916,7;;4638,4;4896,65;4222,31;;5264,56;5777,92;4885,37;;1,8;4,1;;2,8;3,3;;1,2;3,1;;2,8;1,7;;3,5;4,5;2,4;0,8;0,4;3,8;1,7;2,9;0;1,9;1,2;1;48,7;36;55,6;54,8;43,9;33,3;42,2;43,6;53,4;55;33,8;54,3;1146;942;883;775;872;75;79;70;70
