"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1819";"U_QS_CONTINUATION_RATE_1920";"U_QS_CONTINUATION_RATE_2021";"U_QS_CONTINUATION_RATE_2122";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_N_ABS_1ST_2021";"U_QS_N_ABS_2ST_2021";"U_QS_N_ABS_JMGR_2021";"U_QS_N_ABS_DR_2021";"U_QS_N_PRACA_1ST_2021";"U_QS_N_PRACA_2ST_2021";"U_QS_N_PRACA_JMGR_2021";"U_QS_N_PRACA_DR_2021";"U_QS_N_BEZR_1ST_2021";"U_QS_N_BEZR_2ST_2021";"U_QS_N_BEZR_JMGR_2021";"U_QS_N_BEZR_DR_2021";"U_QS_N_STUD_1ST_2021";"U_QS_N_STUD_2ST_2021";"U_QS_N_STUD_JMGR_2021";"U_QS_N_STUD_DR_2021";"U_QS_N_UNABLE_1ST_2021";"U_QS_N_UNABLE_2ST_2021";"U_QS_N_UNABLE_JMGR_2021";"U_QS_N_UNABLE_DR_2021";"U_QS_N_ABS_1ST_2122";"U_QS_N_ABS_2ST_2122";"U_QS_N_ABS_JMGR_2122";"U_QS_N_ABS_DR_2122";"U_QS_N_PRACA_1ST_2122";"U_QS_N_PRACA_2ST_2122";"U_QS_N_PRACA_JMGR_2122";"U_QS_N_PRACA_DR_2122";"U_QS_N_BEZR_1ST_2122";"U_QS_N_BEZR_2ST_2122";"U_QS_N_BEZR_JMGR_2122";"U_QS_N_BEZR_DR_2122";"U_QS_N_STUD_1ST_2122";"U_QS_N_STUD_2ST_2122";"U_QS_N_STUD_JMGR_2122";"U_QS_N_STUD_DR_2122";"U_QS_N_UNABLE_1ST_2122";"U_QS_N_UNABLE_2ST_2122";"U_QS_N_UNABLE_JMGR_2122";"U_QS_N_UNABLE_DR_2122";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_2021";"U_QS_STUDENT_ENTREPRENEURSHIPS_2122";"U_QS_ME_SALARY_1ST_1819";"U_QS_ME_SALARY_2ST_1819";"U_QS_ME_SALARY_JMGR_1819";"U_QS_ME_SALARY_DR_1819";"U_QS_ME_SALARY_1ST_1920";"U_QS_ME_SALARY_2ST_1920";"U_QS_ME_SALARY_JMGR_1920";"U_QS_ME_SALARY_DR_1920";"U_QS_ME_SALARY_1ST_2021";"U_QS_ME_SALARY_2ST_2021";"U_QS_ME_SALARY_JMGR_2021";"U_QS_ME_SALARY_DR_2021";"U_QS_ME_SALARY_1ST_2122";"U_QS_ME_SALARY_2ST_2122";"U_QS_ME_SALARY_JMGR_2122";"U_QS_ME_SALARY_DR_2122";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_GRUP_UNEMPLOYMENT_1ST_2021";"U_GRUP_UNEMPLOYMENT_MGR_2021";"U_GRUP_UNEMPLOYMENT_DR_2021";"U_GRUP_UNEMPLOYMENT_1ST_2122";"U_GRUP_UNEMPLOYMENT_MGR_2122";"U_GRUP_UNEMPLOYMENT_DR_2122";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_UNEMPLOYMENT_1ST_1920";"U_UMULTI_UNEMPLOYMENT_2ST_1920";"U_UMULTI_UNEMPLOYMENT_JMGR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_2021";"U_UMULTI_UNEMPLOYMENT_2ST_2021";"U_UMULTI_UNEMPLOYMENT_JMGR_2021";"U_UMULTI_UNEMPLOYMENT_1ST_2122";"U_UMULTI_UNEMPLOYMENT_2ST_2122";"U_UMULTI_UNEMPLOYMENT_JMGR_2122";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_REGION_1ST_1920";"U_UMULTI_REGION_2ST_1920";"U_UMULTI_REGION_JMGR_1920";"U_UMULTI_REGION_1ST_2021";"U_UMULTI_REGION_2ST_2021";"U_UMULTI_REGION_JMGR_2021";"U_UMULTI_REGION_1ST_2122";"U_UMULTI_REGION_2ST_2122";"U_UMULTI_REGION_JMGR_2122";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_N_21";"U_UMULTI_N_22";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21";"U_UMULTI_NFIRM_22";"U_UMULTI_NFIRM_23"
2152;"Wyższa Szkoła Nauk Społecznych z siedzibą w Lublinie";25,3;36,2;31,2;34,1;154;0;0;0;103;0;0;0;16;0;0;0;13;0;0;0;2;0;0;0;138;24;0;0;90;21;0;0;11;0;0;0;26;0;0;0;0;0;0;0;144;45;7;0;96;34;7;0;8;1;0;0;26;4;0;0;2;2;0;0;176;40;16;0;130;30;13;0;7;1;0;0;24;2;0;0;4;0;0;0;15;22;31;27;3158,78;;;;3531,38;4313,56;;;3977,7;3110,51;3100;;4141,74;4161,84;4099,81;;7,1;;;8;4,2;;8,3;7,7;;5,7;8,9;;10;;;7,9;0;;5,9;2,4;0;3,9;2,8;0;54,5;;;50,4;79,2;;53,5;66,7;85,7;56,2;70;81,2;138;154;162;196;233;37;46;59;66
2154;"Wyższa Szkoła Ekonomii i Innowacji w Lublinie";65,4;63,8;51,7;56,9;900;1059;81;0;666;886;65;0;31;33;8;0;94;4;1;0;13;18;0;0;733;1113;57;0;519;993;44;0;29;32;3;0;111;3;1;0;9;26;1;0;847;1220;59;0;569;1059;52;0;29;19;0;0;105;12;0;0;10;20;0;0;961;1054;43;0;685;860;41;0;22;19;0;0;120;6;0;0;7;24;0;0;101;91;133;88;3762,32;5046,44;3175,95;;3852,23;5243,12;2462,96;;4317,48;5666,28;4256,35;;5051,51;6105,57;4941,41;;4,3;3,8;;4,8;3,3;;4,4;2,5;;4;3,1;;3,6;3;9,2;6,1;2,9;5,4;4;1,6;0;2;1,8;0;69;80,9;50,6;67,1;71,9;61,4;63,1;72,1;76,3;67;67,9;79,1;1499;2054;1884;2121;2043;195;215;239;248
2156;"Staropolska Szkoła Wyższa w Kielcach";15,3;60,4;50,3;38,9;111;101;0;0;36;74;0;0;2;5;0;0;16;1;0;0;2;4;0;0;182;145;5;0;101;106;5;0;1;8;0;0;23;2;0;0;0;2;0;0;360;144;96;0;184;98;78;0;14;4;4;0;45;7;6;0;8;12;3;0;311;220;71;0;149;179;57;0;7;4;2;0;32;5;1;0;1;7;0;0;4;9;9;18;2763,88;2976,68;;;3843,13;3457,64;7337,32;;3301,71;4290,46;3714,58;;4367,15;4946,08;4356,81;;1,8;4;;1,1;7,3;;1,1;0,8;;0,6;1,7;;1,2;5,3;;0;5,3;0;2,9;1,1;3,3;2,2;1,7;3,1;30,3;67;;52,8;65,5;60;49,3;62,9;76,8;45;72;72,9;586;190;356;598;590;20;12;20;33
2157;"Warszawska Szkoła Zarządzania - Szkoła Wyższa w Warszawie";72,4;69,2;66,1;66;87;108;0;0;77;93;0;0;1;2;0;0;6;2;0;0;1;3;0;0;159;68;0;0;118;61;0;0;2;1;0;0;32;0;0;0;3;2;0;0;109;112;0;0;79;105;0;0;2;2;0;0;22;0;0;0;0;1;0;0;159;121;0;0;118;104;0;0;5;2;0;0;24;0;0;0;1;2;0;0;16;18;9;13;4996,25;4949,54;;;4558,24;5371,8;;;5096,5;6092,86;;;5311,13;6928,36;;;0;1,9;;1,9;2,9;;1,8;1,8;;3,1;3,3;;0;1,2;;0;0;;5,9;1,8;;1,9;1,8;;51,8;47,2;;42,6;56,1;;45,9;49,1;;48,7;53,9;;120;197;220;278;307;27;33;32;26
2158;"Wyższa Szkoła Logistyki w Poznaniu";46,8;47,8;40,8;39,3;389;318;0;0;324;279;0;0;7;5;0;0;31;1;0;0;3;1;0;0;393;316;0;0;300;263;0;0;3;9;0;0;60;13;0;0;6;4;0;0;524;307;0;0;415;273;0;0;2;2;0;0;67;5;0;0;2;5;0;0;512;308;0;0;389;266;0;0;5;5;0;0;60;5;0;0;2;3;0;0;47;27;46;38;4053,38;4291,17;;;3913,54;4589,08;;;4460;5083,41;;;5007,84;5522,3;;;1,5;1,6;;1,8;1,6;;0,8;0,7;;1,6;1;;2,3;1,3;;0,5;3,1;;0,3;0,7;;1,6;1,7;;66,2;67,3;;63,6;67,1;;63,1;67,3;;58;64,3;;804;698;770;778;800;109;89;93;97
2160;"Wyższa Szkoła Promocji, Mediów i Show Businessu z siedzibą w Warszawie";33,3;;33,3;0;9;7;0;0;4;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;1;6372,92;7161,09;;;;;;;;;;;;4832,27;;;11,1;0;;;0;;0;;;0;0;;0;0;;;0;;;;;0;0;;33,3;57,1;;;66,7;;33,3;;;0;100;;19;14;2;8;7;8;6;1;2
2161;"Akademia Ekonomiczno-Humanistyczna w Warszawie";33,3;34,4;39,7;36;465;394;192;0;287;219;156;0;7;2;5;0;75;10;2;0;7;14;3;0;940;636;200;0;590;316;151;0;17;9;9;0;134;24;1;0;7;12;1;0;604;470;170;0;360;186;115;0;7;4;6;0;86;28;3;0;5;3;5;0;862;403;169;0;478;203;142;0;12;2;2;0;128;16;3;0;8;2;2;0;65;91;52;75;3980,29;4477,06;3590,68;;4368,54;4612,61;3663,19;;4943,74;5351,14;4408,07;;5428,09;6034,7;5319,68;;1,5;2,4;;2;2,3;;2;1,2;;0,8;1,6;;1,8;0,5;2,7;2,1;1,5;4,2;0,8;0,9;3,2;1,4;0,5;1,3;39,4;32,4;50;38,4;27,2;45,2;37,9;24,4;46,5;37,4;30,8;48,5;1008;1141;1218;1329;1312;125;130;128;145
2162;"Wyższa Szkoła Zarządzania Personelem w Warszawie";40,6;53,8;33,3;3,8;32;0;0;0;25;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;26;0;0;0;21;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;18;0;0;0;13;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;26;0;0;0;22;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;4;1;1;5984,62;;;;5488,58;;;;5246,55;;;;8576,44;;;;0;;;0;;;11,1;;;0;;;0;;;0;;;0;;;4,8;;;51,6;;;69,2;;;38,9;;;47,8;;;30;32;26;18;28;4;8;5;2
2166;"Wielkopolska Wyższa Szkoła Społeczno-Ekonomiczna w Środzie Wielkopolskiej";55,7;43,3;31,3;43,9;167;118;0;0;100;102;0;0;4;7;0;0;13;0;0;0;6;3;0;0;224;118;0;0;154;105;0;0;4;1;0;0;24;3;0;0;5;5;0;0;246;133;1;0;141;120;1;0;3;0;0;0;42;0;0;0;5;0;0;0;198;122;38;0;132;100;32;0;4;1;1;0;24;4;0;0;1;3;0;0;13;11;3;8;3210,7;3235,8;;;3222,08;3819,1;;;3631,02;4254,85;;;4699,73;4775,61;4785,46;;2,4;4,3;;1,3;1,7;;0,8;2,2;;2;1,9;;1,4;6,4;;2,5;0,9;;2;0;;3,2;0,9;2,9;59,3;86,3;;67;87,3;;56,5;89,5;;64,6;77,9;84,2;231;293;340;381;352;20;29;14;13
2169;"Akademia Polonijna w Częstochowie";52,6;21,2;25,3;23,8;57;180;0;0;48;165;0;0;0;0;0;0;2;1;0;0;0;7;0;0;66;71;0;0;34;50;0;0;1;1;0;0;2;0;0;0;0;4;0;0;87;15;0;0;37;10;0;0;2;0;0;0;5;0;0;0;1;0;0;0;63;4;0;0;26;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;8;8;4;0;4619,7;5726,59;;;4823,85;5661,96;;;4634,67;5214,93;;;6882,83;;;;0;0,6;;0;1,4;;1,1;0;;0;0;;0;0;;0;1,4;;1,6;0;;0;0;;58,2;75,1;;36,9;48,6;;33,7;60;;20,6;0;;187;236;164;92;54;17;19;15;7
2172;"Wyższa Szkoła Finansów i Zarządzania w Białymstoku";32,3;41,5;42,2;41;158;91;0;0;110;77;0;0;5;5;0;0;10;0;0;0;7;4;0;0;123;65;0;0;76;57;0;0;6;2;0;0;15;0;0;0;1;2;0;0;225;86;0;0;154;76;0;0;8;3;0;0;35;0;0;0;2;0;0;0;183;77;0;0;122;68;0;0;6;2;0;0;28;2;0;0;5;1;0;0;12;12;12;17;3195,52;3955,62;;;3709,87;4036,12;;;3561,3;4049,8;;;4439,4;5058,04;;;5,1;6,6;;3,3;4,6;;5,3;2,3;;3,3;0;;3,5;5,5;;4,8;3,1;;4,6;3,5;;2,9;2,8;;60,1;46,2;;48;41,5;;52,9;55,8;;58,5;59,7;;244;232;259;264;308;28;22;22;40
2174;"Wyższa Szkoła Hotelarstwa i Gastronomii w Poznaniu";49,7;41,4;41,3;28,6;187;86;0;0;36;17;0;0;4;2;0;0;71;5;0;0;0;0;0;0;145;76;0;0;28;20;0;0;1;3;0;0;56;4;0;0;0;0;0;0;138;64;0;0;27;21;0;0;4;2;0;0;48;2;0;0;0;0;0;0;112;36;0;0;16;11;0;0;0;0;0;0;31;0;0;0;1;0;0;0;6;5;6;2;2625,85;2880,99;;;2720,42;2677,61;;;3620,6;3256,47;;;3761,41;2774,28;;;0,5;1,2;;2,1;3,9;;0,7;1,6;;1,8;2,8;;3,2;2,5;;1,3;4,2;;4,8;3,3;;0;0;;9,6;11,6;;11,7;15,8;;14,5;18,8;;10,7;16,7;;301;255;212;205;136;24;12;12;11
2175;"Akademia Humanistyczno-Ekonomiczna w Łodzi";50,1;50,7;51,6;56,1;653;742;0;0;481;634;0;0;22;13;0;0;59;0;0;0;4;13;0;0;752;559;0;0;525;474;0;0;20;10;0;0;89;1;0;0;9;12;0;0;1025;640;0;0;734;547;0;0;22;11;0;0;119;3;0;0;4;5;0;0;1108;710;0;0;893;605;0;0;16;11;0;0;87;20;0;0;6;11;0;0;73;61;83;93;4507,61;5945,84;;;4855,5;5157,47;;;5541,57;5702,22;;;7676,65;6798,86;;;1,7;1,5;;2,3;3;;1,9;1,7;;1,7;0,7;;3,8;1,8;;3,3;1,7;;1,9;1,6;;2,6;1,2;;39,8;48,1;;33,3;40,6;;35,4;37,8;;32,1;32,3;;1242;1426;1435;1594;1920;147;154;179;193
2177;"Szkoła Wyższa im. Bogdana Jańskiego w Warszawie";46,7;33,3;61,7;43,5;15;38;0;0;9;27;0;0;1;0;0;0;2;3;0;0;0;1;0;0;6;15;0;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;15;0;0;42;14;0;0;0;0;0;0;5;0;0;0;0;0;0;0;23;5;0;0;14;4;0;0;1;0;0;0;6;0;0;0;1;0;0;0;3;2;1;2;4027,59;3935,42;;;5320,11;5773,62;;;3848,43;4809,45;;;3776,09;4277,68;;;0;2,6;;0;0;;4,3;0;;4,3;0;;11,1;0;;0;0;;0;0;;12,5;;;46,7;34,2;;33,3;35,7;;76,6;42,9;;52,4;0;;42;53;24;68;19;5;8;3;5
2178;"Wyższa Szkoła Pedagogiczno-Techniczna w Koninie";34,8;31,6;37,5;28,6;23;0;0;0;21;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;16;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;24;0;0;0;21;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;1;2;0;3277,04;;;;3482,83;;;;2959,01;;;;4140,34;;;;4,3;;;0;;;12,5;;;9,5;;;0;;;0;;;0;;;0;;;69,6;;;73,7;;;83,3;;;76,2;;;38;25;22;19;21;2;4;4;2
2179;"Europejska Uczelnia Informatyczno-Ekonomiczna w Warszawie";33,2;32,2;26;26,6;283;192;0;0;252;177;0;0;6;4;0;0;9;2;0;0;3;2;0;0;295;270;0;0;260;246;0;0;6;5;0;0;16;1;0;0;6;5;0;0;362;191;0;0;301;166;0;0;7;4;0;0;33;1;0;0;2;2;0;0;290;149;20;0;252;129;17;0;6;1;0;0;15;4;0;0;3;4;1;0;42;32;45;44;5008,05;5296,11;;;4784,9;5837,45;;;5394,86;5983,81;;;6205,88;6982,97;5690,54;;2,5;1;;3,1;1,9;;1,7;2,1;;1;0,6;;2,4;1,9;;4;1,8;;2,1;2,3;;1,7;0,8;0;63,1;66,5;;66,2;64,6;;59,3;57,5;;57,3;57,1;65;380;537;547;583;346;76;74;97;89
2180;"Wyższa Szkoła Rehabilitacji w Warszawie";74,3;30,7;39,6;44,3;538;248;0;0;310;224;0;0;13;4;0;0;194;0;0;0;5;1;0;0;153;246;0;0;109;210;0;0;5;7;0;0;23;3;0;0;1;7;0;0;101;318;0;0;76;268;0;0;3;6;0;0;12;5;0;0;1;3;0;0;79;162;115;0;50;134;88;0;5;2;1;0;21;2;1;0;1;0;1;0;131;71;85;62;3234,18;3211,69;;;3856,8;3459,53;;;4549,57;4003,4;;;5019,17;5422,78;5082,31;;2,6;1,6;;4,6;4,5;;2;1,9;;3,8;1,4;;4,4;1,7;;3,4;3;;3,1;1,7;;11,4;1,3;0,9;37,3;55,9;;39,7;49,4;;43,6;53,5;;32,9;44,7;47,8;606;691;432;466;399;215;230;196;200
2181;"Wyższa Szkoła Biznesu i Nauk o Zdrowiu w Łodzi";65,3;56,2;71,8;56,5;118;101;0;0;73;84;0;0;5;2;0;0;32;2;0;0;2;1;0;0;162;150;0;0;105;131;0;0;11;3;0;0;33;3;0;0;2;2;0;0;174;178;0;0;107;150;0;0;7;6;0;0;49;2;0;0;2;1;0;0;168;207;0;0;97;170;0;0;10;6;0;0;47;2;0;0;0;7;0;0;32;52;38;55;2409,68;2629,54;;;2642,85;2798,14;;;2923,88;3552,9;;;3413,32;3958,62;;;5,9;1;;10,5;6;;4,6;4,5;;3;5,3;;2,3;1,1;;6,9;2,1;;6,5;3,7;;9,3;3,2;;54,2;51,5;;54,3;54,7;;52,9;49,4;;54,2;40,3;;227;276;271;369;360;87;89;87;112
2182;"Europejska Uczelnia Społeczno - Techniczna w Radomiu";65,2;69,2;92,9;60,6;23;72;0;0;17;64;0;0;2;4;0;0;2;2;0;0;0;2;0;0;13;45;0;0;12;41;0;0;0;2;0;0;0;0;0;0;0;0;0;0;14;46;0;0;10;41;0;0;2;2;0;0;2;2;0;0;0;0;0;0;33;32;4;0;31;29;3;0;1;0;0;0;1;1;1;0;1;2;0;0;9;4;6;3;2546,98;4122,43;;;3760,8;4416,62;;;4571,43;5935,34;;;5659,91;7331,36;7904,47;;8,7;5,6;;0;4,4;;7,1;6,5;;3;0;;0;5,3;;0;4,9;;;4,8;;0;0;0;39,1;43,7;;58,3;58,1;;42,9;60,9;;58,1;61,3;50;149;103;51;65;82;22;18;9;14
2183;"Wyższa Szkoła Kadr Menedżerskich";;85,4;63,6;47,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;16;0;0;40;12;0;0;2;1;0;0;6;0;0;0;0;0;0;0;33;3;0;0;24;3;0;0;0;0;0;0;8;0;0;0;1;0;0;0;87;78;0;0;74;70;0;0;3;2;0;0;8;3;0;0;0;5;0;0;0;2;2;5;;;;;3177,74;3940,4;;;3063,29;3022,6;;;3989,75;4538,43;;;;;;12,5;12,5;;3;0;;3,4;3,8;;;;;;6,7;;0;0;;5,3;0;;;;;79,2;68,8;;69,7;66,7;;83,9;70,5;;0;0;64;37;170;0;2;4;8
2184;"Wyższa Szkoła Medyczna w Sosnowcu";59,2;58,1;64,6;70,1;130;162;0;0;120;159;0;0;2;1;0;0;4;0;0;0;1;2;0;0;129;188;0;0;122;183;0;0;3;1;0;0;3;0;0;0;0;1;0;0;147;207;0;0;139;200;0;0;1;1;0;0;3;0;0;0;1;1;0;0;144;151;0;0;137;147;0;0;1;0;0;0;5;0;0;0;1;2;0;0;23;22;44;18;4933,73;6344,53;;;5435,08;7378,71;;;5943,66;7855,53;;;8124,15;8401,83;;;0,8;0;;2,3;0;;0,7;0;;1,4;0;;1,7;0;;5,1;0,5;;2;0,5;;2,4;0;;67,7;68,2;;72,4;59,9;;64,4;62,6;;54,8;59,3;;158;294;319;351;295;39;59;70;62
2185;"Ewangelikalna Wyższa Szkoła Teologiczna";;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;;;;;3219,59;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;20;;;0;;;25;;;15;4;3;3;8;3;1;0;2
2186;"Niepubliczna Wyższa Szkoła Medyczna we Wrocławiu";32;44,8;40,6;46;122;0;0;0;90;0;0;0;5;0;0;0;16;0;0;0;1;0;0;0;125;0;0;0;92;0;0;0;2;0;0;0;28;0;0;0;3;0;0;0;143;0;0;0;100;0;0;0;3;0;0;0;40;0;0;0;0;0;0;0;187;0;0;0;139;0;0;0;5;0;0;0;32;0;0;0;1;0;0;0;20;15;25;14;3876,16;;;;4580,89;;;;4003,14;;;;5631,71;;;;0;;;2,4;;;7;;;2,1;;;3,5;;;0;;;14,3;;;1,5;;;58,1;;;59,3;;;54,9;;;57,1;;;123;126;136;154;203;32;43;50;41
2187;"Wyższa Szkoła Sportowa im. Kazimierza Górskiego w Łodzi";;;;16,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;21;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;;3476,57;;;;;;;;;;;;;3,2;;;;;;;;;;;;3,7;;;;;;;;;;;;0;;;45;0;0;0;38;6;0;0;8
2188;"Uczelnia Łazarskiego w Warszawie";40,6;41,8;43,7;46;256;241;158;0;116;155;120;0;2;5;7;0;48;6;3;0;4;1;1;0;297;250;166;0;134;153;129;0;5;4;3;0;64;5;4;0;0;3;3;0;332;197;144;0;170;124;123;0;1;0;4;0;66;7;4;0;1;1;0;0;391;189;133;0;182;125;105;0;4;0;3;0;86;2;1;0;1;3;0;0;40;49;54;40;4659,78;5076,32;4208,07;;4839,64;5511,04;4075,01;;5207,98;5806,49;4564,51;;5734,48;6201,63;5401,87;;0,4;3;;0,3;2,6;;1,2;2,6;;0,5;2,2;;0,6;1,4;4;1,7;1,7;1,3;0,5;0;2,3;1,4;0;1,6;27,5;39,7;51,6;28;35,5;51,5;31,8;33,7;52,5;32;32,3;41,7;675;673;691;684;718;92;114;122;99
2189;"Wyższa Szkoła Pedagogiczna im. Janusza Korczaka w Warszawie";75,2;78,9;80,4;40,4;109;288;0;0;94;253;0;0;4;5;0;0;9;5;0;0;2;10;0;0;95;244;0;0;81;214;0;0;2;4;0;0;11;2;0;0;2;12;0;0;51;343;0;0;38;312;0;0;3;5;0;0;9;3;0;0;1;8;0;0;52;380;0;0;39;345;0;0;1;4;0;0;8;6;0;0;1;10;0;0;9;9;17;7;3304,94;3624,07;;;3266,91;3881,5;;;3923,77;4394,25;;;4673,69;4802,9;;;1,8;0,7;;1,1;2;;2;1,2;;1,9;1,8;;0;1,9;;4,5;1,4;;0;1,3;;0;1,2;;69,7;50;;61,7;50;;56,9;39,9;;37,3;48,3;;370;359;368;413;374;22;23;29;25
2192;"Górnośląska Wyższa Szkoła Handlowa im. Wojciecha Korfantego w Katowicach";54,7;49,2;45,2;41,8;369;148;31;0;288;107;24;0;14;6;0;0;42;1;0;0;3;5;0;0;317;126;41;0;247;105;38;0;9;3;1;0;31;1;0;0;5;2;0;0;389;211;28;0;291;171;25;0;4;5;1;0;43;0;0;0;6;5;1;0;383;211;49;0;266;179;40;0;8;3;2;0;43;3;0;0;3;1;2;0;37;20;35;42;3343,38;3681,37;3132,98;;3821,1;3339,9;3505,42;;4072,49;3966,63;3094,7;;4509,57;5152,51;4664,56;;3;3,4;;3,2;4,2;;1,3;2,5;;3,1;3,5;;4;4,3;0;3;2,5;2,4;1,9;2,4;3,7;3,1;1,5;4,1;73,8;59,2;67,7;74,1;64,8;90,2;69,5;66,7;89,3;65,1;72,7;67,3;673;555;514;598;654;94;62;72;100
2193;"Wyższa Szkoła Administracji i Biznesu im. Eugeniusza Kwiatkowskiego w Gdyni";53,1;51,8;50,5;49;307;254;55;0;207;204;46;0;9;9;3;0;59;1;2;0;4;3;0;0;390;272;47;0;282;217;29;0;10;12;6;0;56;4;0;0;5;5;0;0;505;376;47;0;367;296;42;0;5;10;1;0;85;13;0;0;10;4;0;0;496;360;43;0;345;310;31;0;10;4;1;0;81;4;0;0;10;5;3;0;31;42;57;43;3377,48;4166,76;2901,58;;3735,24;4203,97;3112,73;;4022,11;4470,54;4006,72;;4780,19;5415,55;4356,64;;2,6;5,2;;4,9;6;;2,4;5,2;;2;2,2;;5,6;3,7;6,8;2,9;4,1;9,1;1,4;2,7;2,2;2,6;1,2;2,4;62,2;70,9;74,5;66,7;66,1;59,6;65,9;68,9;70,2;62,5;65,8;58,1;620;611;763;876;937;70;89;114;137
